name,numb,cue,reset,x,y,zoom,description,long_text,address,mask_geojson,tsp_geojson,streets_geojson,label_geojson,buildings_geojson,restaurants_geojson
Yuca Bar & Restaurant,11,,,,,,Tucked inside an unassuming storefront. Known for its cozy ambiance and eclectic menu.,"Right on the corner of Avenue A and East 7th Street, Yuca Bar buzzes with the energy of the East Village, serving up Latin fusion plates and cocktails with serious flair. The colorful murals, lively sidewalk tables, and vibrant playlist set the stage for a casual, high-spirited meal, whether you’re diving into brunch arepas or winding down with ceviche and margaritas after dark. Yuca draws a crowd that’s as eclectic as the neighborhood itself — friends sharing tapas, first dates lingering over sangria, and regulars who treat it like a second living room. It’s the kind of place where every night feels like a celebration, even when it’s just Tuesday.","111 Avenue A, New York, NY 10009",1,0,0,0,0,0
Empellon Al pastor,12,,,,,,"Small space, big flavors.","Empellón Al Pastor keeps things simple but electric: tacos, tequila, and the kind of East Village buzz that doesn't need much else. Steps from Tompkins Square Park, this corner spot specializes in al pastor tacos — smoky, juicy, and piled high — paired with a sharp cocktail list and a room that’s always a little louder (and more fun) than you expect. With its colorful, low-lit vibe and no-fuss counter service, Empellón feels like part street party, part neighborhood hangout, the kind of place where one quick taco run turns into an all-night hang with friends.","132 St Marks Pl, New York, NY 10009",1,0,0,0,0,0
The East Village Mini Market,13,161,221,-73.982565,40.727678,21,Beloved for late-night bites and cocktails. A no-frills favorite among locals. Offers seasonal dishes inspired by regional flavors. Regularly hosts live jazz and poetry nights.,"Tucked on the corner of Avenue A, East Village Mini Market is one of those neighborhood fixtures that quietly holds the city together. Open late and packed to the ceiling with everything from fresh empanadas and sandwiches to late-night essentials, it’s a trusted stop for locals winding down from the night or gearing up for the next move. The deli counter turns out quick, satisfying bites — nothing fancy, just good — and the warm, familiar buzz of regulars and newcomers alike gives the place a constant, comforting hum. In a neighborhood that never really shuts down, East Village Mini Market is always there, lights on, ready to feed whoever walks through the door.","153 Avenue A, New York, NY 10009",1,0,0,0,0,0
C&B,14,5.1,66,-73.98162,40.725142,21,Reinventing classics with a modern twist. Known for its cozy ambiance and eclectic menu.,"C&B is a tiny East Village gem that feels more like a neighborhood kitchen than a restaurant. With just a handful of seats and an ever-changing menu scribbled on the wall, C&B serves up simple, thoughtful food with serious heart — from buttery breakfast sandwiches to plates layered with seasonal produce and house-baked bread. The open kitchen setup blurs the line between diner and cook, making every meal feel personal, almost like you’re a guest rather than a customer. Unpretentious, soulful, and quietly inventive, C&B captures the best kind of East Village spirit: small, a little scrappy, and completely unforgettable.","178 E 7th St, New York, NY 10009",1,0,0,0,0,0
Tompkins Square Bar,15,,,,,,"Small space, big flavors.","Tompkins Square Bar is a classic East Village haunt where the drinks are strong, the music is loud, and the attitude is refreshingly unpolished. Just steps from the park, it’s the kind of spot where regulars crowd the bar, pool tables stay busy late into the night, and the jukebox keeps the energy moving. Cheap beers, whiskey shots, and a no-nonsense vibe make it a natural last stop — or first — depending on the kind of night you're having. With its dark wood, neon glow, and steady hum of conversation, Tompkins Square Bar feels like one of the few places left where you can still lose track of time in the best way.","110 Ave A New York, NY 10009",1,0,0,0,0,0
Starbucks,16,,,,,,Don't miss the house-made desserts. A rotating menu ensures no two visits are the same. Tucked inside an unassuming storefront.,"Even in a neighborhood built on independent spirit, the East Village’s Starbucks carves out its own familiar corner of city life. Located just steps from Tompkins Square Park, it’s a steady hub for students cramming, locals grabbing a quick caffeine fix, and visitors catching their breath between downtown adventures. Inside, it’s the familiar hum of espresso machines, laptops, and casual conversations — a predictable anchor in a part of town that’s always changing. While the East Village overflows with tiny, idiosyncratic cafés, sometimes a dependable cup and a quiet table are exactly what you’re looking for — and here, you’ll find it.","125 St Marks Pl, New York, NY 10009",1,0,0,0,0,0
Ninth Street Espresso,17,,,,,,A newcomer that‚Äôs already making waves.,"Before specialty coffee was everywhere, there was Ninth Street Espresso — a pioneer that helped define the East Village’s laid-back but serious approach to a good cup. Opened in 2001, this tiny, no-frills café set the tone with a focus on doing a few things extremely well: rich, balanced espresso, perfectly textured milk, and no unnecessary frills. Tucked just off Tompkins Square Park, it remains a quiet refuge for locals who want a straightforward, expertly made coffee without the fuss. With its minimal menu and worn-in counter, Ninth Street Espresso feels like a throwback to when coffee shops were about the coffee — and the conversations — first.","341 E 10th St, New York, NY 10009",1,0,0,0,0,0
Superiority Burger,18,,,,,,Regularly hosts live jazz and poetry nights. Reinventing classics with a modern twist. A rotating menu ensures no two visits are the same.,"Superiority Burger is a tiny East Village spot with a cult following far bigger than its footprint. Originally famous for its namesake veggie burger — a crispy, savory masterpiece that won over even die-hard carnivores — the menu has grown into a playful, ever-changing lineup of creative, vegetable-driven dishes that feel both nostalgic and completely new. Inside, it’s all counter seating, handwritten menus, and the unmistakable energy of a kitchen that's always in motion. Part punk rock snack bar, part high-low culinary experiment, Superiority Burger is pure East Village: scrappy, brilliant, and impossible not to love.","119 Avenue A, New York, NY 10009",1,0,0,0,0,0
Village Square Pizza,19,70,158,-73.982676,40.727504,21,A no-frills favorite among locals.,"Village Square Pizza feels like the East Village’s answer to a timeless New York craving: a great, no-nonsense slice. With its glowing red sign and constant flow of foot traffic, it’s a neighborhood staple where a hot, cheesy slice is never more than a few minutes away. The crust is crisp, the sauce just sweet enough, and the cheese pulls exactly the way it should — everything you want when you stumble in hungry after a night out or just need a quick, perfect bite. In a city full of famous pizza joints, Village Square keeps it simple: fast, satisfying, and always there when you need it.","147 Avenue A, New York, NY 10009",1,0,0,0,0,0
Lovers of Today,20,,,,,,Tucked inside an unassuming storefront.,"Tucked behind an unmarked door just off East 7th Street, Lovers of Today feels like a secret you’re lucky to know. This dimly lit, intimate cocktail bar is all candlelight, velvet booths, and a soundtrack that hums just under the conversation. The drinks are thoughtful without being fussy — strong classics, inventive signatures — served with just enough East Village edge to keep things interesting. It’s the kind of place where you settle in for one drink and find yourself staying for hours, wrapped up in the kind of atmosphere that feels rare even in a city full of hideaways.","132 1/2 E 7th St, New York, NY 10009",1,0,0,0,0,0
Lucy's Bar,21,,,,,,Just steps away from the main square.,"Lucy’s Bar is one of those rare East Village holdouts where time moves slower and the regulars feel like family. Open since the 1980s and run by the legendary Lucy herself, it’s a cash-only, jukebox-playing, beer-and-a-shot kind of place where the charm is in the rough edges. The red pool table, Christmas lights, and deep, worn-in booths give it the feeling of a second living room — if your living room had a steady stream of dive bar legends and late-night philosophers. Lucy’s isn’t trying to reinvent anything; it’s simply doing what it’s always done: pouring stiff drinks, telling good stories, and keeping the spirit of the old East Village alive, one night at a time.","135 Avenue A, New York, NY 10009",1,0,0,0,0,0
St. Dymphna's,22,,,,,,"Family-owned and proudly traditional. Small space, big flavors. A newcomer that‚Äôs already making waves. Small space, big flavors.","St. Dymphna’s has long been one of the East Village’s best-loved meeting spots, a cozy Irish pub that feels as welcoming to a quiet solo drinker as it does to a crowd of friends piling into a booth. Named after the patron saint of mental health, there’s a warmth and casualness to the place that feels like a deep exhale from the outside world. Think pints of Guinness, hearty pub plates, a lived-in bar, and the soft murmur of conversations stretching into the night. It’s not trying to be trendy — it’s just comfortable, familiar, and exactly what you hope to find on a corner in the East Village.","117 Avenue A, New York, NY 10009",1,0,0,0,0,0
No Fork,23,,,,,,Regularly hosts live jazz and poetry nights. A local favorite with a cult following. A rotating menu ensures no two visits are the same.,"No Fork feels like the East Village’s love letter to street food — fast, bold, and made to be eaten without fuss. Specializing in handheld dishes loaded with rich flavors, it’s a grab-and-go spot that still manages to feel thoughtful, from the sauces down to the textures. Whether you’re ducking in for a late-night lamb wrap or fueling up midday with a loaded sandwich, No Fork captures the casual, slightly chaotic energy that makes the neighborhood what it is. It's not precious, and it’s not supposed to be — it’s just good food made for real life.","131 Avenue A New York, NY 10009",1,0,0,0,0,0
Blank Street Coffee,24,,,,,,"Family-owned and proudly traditional. Small space, big flavors.","Blank Street brings a new-school coffee vibe to the East Village, blending minimalist design with quick, efficient service and seriously solid espresso. Tucked into a small storefront, it’s a sleek, grab-and-go kind of place that still manages to feel connected to the pace of the neighborhood — whether you’re rushing to work, walking your dog, or just in need of a mid-afternoon pick-me-up. The menu keeps it simple and focused: strong coffee, a few thoughtful pastries, and none of the noise. In a neighborhood full of old haunts and historic spots, Blank Street is a modern pit stop that slots right into the rhythm of downtown life.","149 Avenue A, New York, NY 10009",1,0,0,0,0,0
Rosella,25,,,,,,Offers seasonal dishes inspired by regional flavors. A newcomer that‚Äôs already making waves.,"Rosella is a small East Village sushi spot with a big heart, blending deep respect for tradition with a distinctly local, sustainable twist. Instead of flying in fish from across the world, Rosella focuses on domestic seafood and seasonal ingredients, crafting a menu that feels both thoughtful and alive. The space itself is understated — bright, welcoming, and intimate — letting the food and the conversation take center stage. Whether you're settling in for a delicate omakase or just savoring a few plates at the bar, Rosella feels like a quietly brilliant secret, rooted in care for the craft and the neighborhood alike.","137 Avenue A, New York, NY 10009",1,0,0,0,0,0
$1.50 Fresh Pizza & Hot Dog,26,,,,,,A local favorite with a cult following. Just steps away from the main square. Family-owned and proudly traditional.,"$1.50 Fresh Pizza & Hot Dog keeps things simple: a hot slice, a quick dog, and a few bucks well spent. Right on Avenue A, it's the kind of spot that fuels late nights, fast lunches, and everything in between, serving up greasy perfection without making a big deal out of it. With its neon lights, steady stream of regulars, and straightforward menu, it feels like a piece of old New York holding its ground — a place where the food is fast, cheap, and exactly what you were hoping for.","131 Avenue A, New York, NY 10009",1,0,0,0,0,0
